timestamp,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,looking_right,looking_left,looking_center,looking_up,looking_down
2022-01-01 00:00:00,90,153,193,159,True,False,False,False,False
2022-01-01 01:35:00,91,152,190,149,False,False,False,True,False
2022-01-01 03:11:00,95,151,197,154,False,False,True,False,False
2022-01-01 04:43:00,101,160,190,141,False,False,True,False,False
2022-01-01 06:14:00,108,158,210,148,True,False,False,False,False
2022-01-01 07:20:00,91,144,193,147,False,False,False,True,False
2022-01-01 09:19:00,96,145,191,145,False,False,False,True,False
2022-01-01 10:35:00,93,154,207,153,False,True,False,False,False
2022-01-01 12:16:00,95,149,198,159,False,False,True,False,False
2022-01-01 13:31:00,95,160,209,155,False,True,False,False,False
2022-01-01 15:02:00,91,144,195,141,False,True,False,False,False
2022-01-01 16:34:00,102,160,198,147,False,True,False,False,False
2022-01-01 18:28:00,92,146,206,156,False,False,False,False,True
2022-01-01 19:36:00,104,151,194,146,False,False,True,False,False
2022-01-01 21:14:00,100,155,203,145,False,False,True,False,False
2022-01-01 23:02:00,98,147,192,140,False,False,True,False,False
2022-01-02 00:00:00,110,152,201,157,True,False,False,False,False
2022-01-02 01:13:00,110,143,190,146,True,False,False,False,False
2022-01-02 02:24:00,94,148,209,141,True,False,False,False,False
2022-01-02 03:42:00,94,144,206,151,False,False,False,True,False
2022-01-02 05:21:00,99,158,202,155,True,False,False,False,False
2022-01-02 07:07:00,109,143,201,155,True,False,False,False,False
2022-01-02 08:16:00,102,150,200,154,False,False,False,True,False
2022-01-02 09:21:00,105,147,205,145,False,False,False,False,True
2022-01-02 10:34:00,110,153,194,146,False,False,False,True,False
2022-01-02 11:53:00,96,142,202,148,False,True,False,False,False
2022-01-02 12:59:00,92,151,199,143,False,False,True,False,False
2022-01-02 14:11:00,96,158,190,154,False,False,False,False,True
2022-01-02 15:59:00,91,155,193,140,False,False,False,True,False
2022-01-02 17:50:00,95,157,203,143,True,False,False,False,False
2022-01-02 19:08:00,91,151,200,160,False,False,True,False,False
2022-01-02 20:31:00,107,152,190,145,False,False,False,False,True
2022-01-02 22:25:00,95,144,194,159,False,False,False,False,True
2022-01-03 00:00:00,104,149,201,157,False,False,False,True,False
2022-01-03 01:18:00,108,157,210,154,True,False,False,False,False
2022-01-03 02:38:00,103,152,204,146,True,False,False,False,False
2022-01-03 03:46:00,99,156,202,152,False,False,False,False,True
2022-01-03 05:24:00,102,152,199,140,False,True,False,False,False
2022-01-03 06:58:00,103,146,195,155,False,False,False,True,False
2022-01-03 08:42:00,110,141,205,143,False,False,False,False,True
2022-01-03 10:19:00,91,158,204,141,True,False,False,False,False
